Image Name, Latitude, Longitude
BT_Bunker.JPEG, 41.451705555555556, -71.39762222222222
BT_Historical.JPEG, 41.44923055555555, -71.39943055555557
BT_Lighthouse.JPEG, 41.44921944444444, -71.39954444444444
BT_Trail.JPEG, 41.45223333333334, -71.39972777777778
BT_View2.JPEG, 41.45131666666667, -71.399825
Conanicut1.JPEG, 41.479758333333336, -71.39438611111112
Conanicut2.JPEG, 41.48004166666667, -71.39448611111112
DH_AweandGratitude.JPEG, 41.49637222222222, -71.36677499999999
DH_Beach.JPEG, 41.49667222222222, -71.36680555555554
FW_covebeach.JPEG, 41.47935555555556, -71.36054999999999
FW_scuba.JPEG, 41.47913611111111, -71.36032222222222
